modelo,MAE,RMSE,MAPE_%
Baseline 1 - Persistencia,0.43681818181818194,0.5499814046443252,1.4057766635124913
Gradient Boosting,0.6939883808288086,0.8280016014641017,2.213275009608508
"SARIMAX(1, 1, 2)",0.9888856716696707,1.2050376103607476,3.172691667001203
Baseline 2 - MM7,1.1258116883116889,1.2720010476098653,3.590797166306276
Holt amortecido,1.2588232451090686,1.4192327386810237,4.007804650852043
"SARIMAX-X(1, 1, 2)",1.3405714539559808,1.6893854180766121,4.4134162581770635
